Weintek BACnet Export Vserion : 1.00
symbolic link support : 0
GROUP_ID,GROUP_NAME
1,New Group
DEVICE_ID,GROUP_ID,DEVICE_NAME
701,1,Weintek HMI
DEVICE_ID,OBJECT_TYPE,INSTANCE,OBJECT_NAME,DESCRI
701,0,0,Core Temp Top,
701,0,1,Core Temp Mid,
701,0,2,Core Temp Bottom,
701,0,3,Heat Exchanger Temp,
701,0,4,Outdoor Temp TE,
701,0,5,Power Consumption,
701,0,6,Percent Charge,
701,0,7,Charge Rate Setting,
701,0,8,Charge Target Setting,
701,0,9,Current Target Core Temp,
701,0,10,Current Charge Percent,
701,0,11,State Machine Status,
701,0,12,Blower Fan Speed,
701,0,13,Max Core Temp Setting,
701,0,14,Fan Water Temp Setpoint,
701,0,15,Zone Hysteresis,
701,0,16,Pump Start Duration,
701,2,0,BMS Outdoor Temp,
701,2,1,BMS Charge Level Pct,
701,2,2,BMS Charge Level Temp,
701,2,3,BMS Charge Rate Direct,
701,2,4,BMS Charge Rate DR,
701,3,0,Heating Element 1,
701,3,1,Heating Element 2,
701,3,2,Heating Element 3,
701,3,3,Heating Element 4,
701,3,4,Heating Element 5,
701,3,5,Heating Element 6,
701,3,6,Heating Element 7,
701,3,7,Heating Element 8,
701,3,8,Heating Element 9,
701,3,9,Blower,
701,3,10,Pump,
701,3,11,General Alarm Active,
701,3,12,High Water Temp Safety Tripped,
701,3,13,Core Over-Temp Alarm Top,
701,3,14,Core Over-Temp Alarm Mid,
701,3,15,Core Over-Temp Alarm Bot,
701,3,16,Sensor Faults,
701,3,17,Local Override Active,
701,5,0,Heat Call,
701,5,1,Peak,
701,5,2,Anticipated Peak,
701,8,701,Weintek HMI,Weintek BACnet Server
