#weintek modbus server mapping file
Description,Address Mode,Read/Write Type,Conversion AB->BA,Conversion ABCD->CDAB,Conversion ABCDEFGH->EFGHABCD,PLC Name,Mapping Device Name,PLC Address Type,Mapping Address Type,PLC Address,Mapping Address,Table Size,PLC Use Tag,Device Use Tag,PLC Tag Name,Device Tag Name,Use Interlock,Interlock Disable Mode,Interlock Device Name,Interlock Address Type,Interlock Address,Interlock Tag Use,Interlock Tag Name
"BMS Outdoor Temp",1,1,0,0,0,"","BACnet/IP Server",11,202,"1","(2,0)BMS Outdoor Temp.PresentValue(ID#85)",2,0,0,"","",0,1,"Local HMI",0,"0",0,"",
"Units BMS Outdoor Temp",1,1,0,0,0,"","BACnet/IP Server",11,196,"3","(2,0)BMS Outdoor Temp.Units(ID#117)",2,0,0,"","",0,1,"Local HMI",0,"0",0,"",
"BMS Charge Level Pct",1,1,0,0,0,"","BACnet/IP Server",11,202,"5","(2,1)BMS Charge Level Pct.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units BMS Charge Level Pct",1,1,0,0,0,"","BACnet/IP Server",11,196,"7","(2,1)BMS Charge Level Pct.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"BMS Charge Level Temp",1,1,0,0,0,"","BACnet/IP Server",11,202,"9","(2,2)BMS Charge Level Temp.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units BMS Charge Level Temp",1,1,0,0,0,"","BACnet/IP Server",11,196,"11","(2,2)BMS Charge Level Temp.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"BMS Charge Rate Direct",1,1,0,0,0,"","BACnet/IP Server",11,202,"13","(2,3)BMS Charge Rate Direct.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units BMS Charge Rate Direct",1,1,0,0,0,"","BACnet/IP Server",11,196,"15","(2,3)BMS Charge Rate Direct.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"BMS Charge Rate DR",1,1,0,0,0,"","BACnet/IP Server",11,202,"17","(2,4)BMS Charge Rate DR.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units BMS Charge Rate DR",1,1,0,0,0,"","BACnet/IP Server",11,196,"19","(2,4)BMS Charge Rate DR.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Core Temp Top",1,2,0,0,0,"","BACnet/IP Server",11,202,"101","(0,0)Core Temp Top.PresentValue(ID#85)",2,0,0,"","",0,1,"Local HMI",0,"0",0,"",
"Units Core Temp Top",1,2,0,0,0,"","BACnet/IP Server",11,196,"103","(0,0)Core Temp Top.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Core Temp Mid",1,2,0,0,0,"","BACnet/IP Server",11,202,"105","(0,1)Core Temp Mid.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units Core Temp Mid",1,2,0,0,0,"","BACnet/IP Server",11,196,"107","(0,1)Core Temp Mid.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Core Temp Bot",1,2,0,0,0,"","BACnet/IP Server",11,202,"109","(0,2)Core Temp Bottom.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units Core Temp Bot",1,2,0,0,0,"","BACnet/IP Server",11,196,"111","(0,2)Core Temp Bottom.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Heat Exchanger Temp",1,2,0,0,0,"","BACnet/IP Server",11,202,"113","(0,3)Heat Exchanger Temp.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units Heat Exchanger Temp",1,2,0,0,0,"","BACnet/IP Server",11,196,"115","(0,3)Heat Exchanger Temp.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Outdoor Temp TE",1,2,0,0,0,"","BACnet/IP Server",11,202,"117","(0,4)Outdoor Temp TE.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units Outdoor Temp TE",1,2,0,0,0,"","BACnet/IP Server",11,196,"119","(0,4)Outdoor Temp TE.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Power Consumption",1,2,0,0,0,"","BACnet/IP Server",11,202,"121","(0,5)Power Consumption.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units Power Consumption",1,2,0,0,0,"","BACnet/IP Server",11,196,"123","(0,5)Power Consumption.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Percent Charged",1,2,0,0,0,"","BACnet/IP Server",11,202,"125","(0,6)Percent Charge.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units Percent Charged",1,2,0,0,0,"","BACnet/IP Server",11,196,"127","(0,6)Percent Charge.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Charge Rate Setting",1,2,0,0,0,"","BACnet/IP Server",11,202,"129","(0,7)Charge Rate Setting.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units Charge Rate Setting",1,2,0,0,0,"","BACnet/IP Server",11,196,"131","(0,7)Charge Rate Setting.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Charge Target Setting",1,2,0,0,0,"","BACnet/IP Server",11,202,"133","(0,8)Charge Target Setting.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units Charge Target Setting",1,2,0,0,0,"","BACnet/IP Server",11,196,"135","(0,8)Charge Target Setting.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Current Target Core Temp",1,2,0,0,0,"","BACnet/IP Server",11,202,"137","(0,9)Current Target Core Temp.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units Current Target Core Temp",1,2,0,0,0,"","BACnet/IP Server",11,196,"139","(0,9)Current Target Core Temp.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Current Charge Percent",1,2,0,0,0,"","BACnet/IP Server",11,202,"141","(0,10)Current Charge Percent.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units Current Charge Percent",1,2,0,0,0,"","BACnet/IP Server",11,196,"143","(0,10)Current Charge Percent.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"State Machine Status",1,2,0,0,0,"","BACnet/IP Server",11,202,"145","(0,11)State Machine Status.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units State Machine Status",1,2,0,0,0,"","BACnet/IP Server",11,196,"147","(0,11)State Machine Status.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Blower Fan Speed",1,2,0,0,0,"","BACnet/IP Server",11,202,"149","(0,12)Blower Fan Speed.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units Blower Fan Speed",1,2,0,0,0,"","BACnet/IP Server",11,196,"151","(0,12)Blower Fan Speed.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Max Core Temp Setting",1,2,0,0,0,"","BACnet/IP Server",11,202,"153","(0,13)Max Core Temp Setting.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units Max Core Temp Setting",1,2,0,0,0,"","BACnet/IP Server",11,196,"155","(0,13)Max Core Temp Setting.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Fan Water Temp Setpoint",1,2,0,0,0,"","BACnet/IP Server",11,202,"157","(0,14)Fan Water Temp Setpoint.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units Fan Water Temp Setpoint",1,2,0,0,0,"","BACnet/IP Server",11,196,"159","(0,14)Fan Water Temp Setpoint.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Zone Hysteresis",1,2,0,0,0,"","BACnet/IP Server",11,202,"161","(0,15)Zone Hysteresis.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units Zone Hysteresis",1,2,0,0,0,"","BACnet/IP Server",11,196,"163","(0,15)Zone Hysteresis.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Pump Start Duration",1,2,0,0,0,"","BACnet/IP Server",11,202,"165","(0,16)Pump Start Duration.PresentValue(ID#85)",2,0,0,"","",0,1,"",0,"0",0,"",
"Units Pump Start Duration",1,2,0,0,0,"","BACnet/IP Server",11,196,"167","(0,16)Pump Start Duration.Units(ID#117)",2,0,0,"","",0,1,"",0,"0",0,"",
"Heat Call BMS",0,1,0,0,0,"","BACnet/IP Server",2,193,"1","(5,0)Heat Call.PresentValue(ID#85)",1,0,0,"","",0,1,"",0,"0",0,"",
"General Alarm Active",0,1,0,0,0,"","BACnet/IP Server",2,193,"2","(3,11)General Alarm Active.PresentValue(ID#85)",1,0,0,"","",0,1,"",0,"0",0,"",
